"slug","name","url","category","grade","ourReviewUrl"
"n8n","n8n","https://n8n.io","productivity",,"https://www.aitoolcrux.com/tools/n8n"
"auto-gpt","AutoGPT","https://agpt.co","agent",,"https://www.aitoolcrux.com/tools/auto-gpt"
"ollama","ollama","https://ollama.com","dev-tools",,"https://www.aitoolcrux.com/tools/ollama"
"llama-cpp","llama.cpp","https://github.com/ggml-org/llama.cpp","dev-tools",,"https://www.aitoolcrux.com/tools/llama-cpp"
"gemini-cli","gemini-cli","https://geminicli.com","agent-runtime",,"https://www.aitoolcrux.com/tools/gemini-cli"
"open-webui","open-webui","https://openwebui.com","chat",,"https://www.aitoolcrux.com/tools/open-webui"
"vllm","vllm","https://vllm.ai","dev-tools",,"https://www.aitoolcrux.com/tools/vllm"
"claude-code","claude-code","https://code.claude.com/docs/en/overview","agent-runtime",,"https://www.aitoolcrux.com/tools/claude-code"
"browser-use","browser-use","https://browser-use.com","productivity",,"https://www.aitoolcrux.com/tools/browser-use"
"lobe-chat","lobehub","https://lobehub.com","agent-framework",,"https://www.aitoolcrux.com/tools/lobe-chat"
"langflow","langflow","http://www.langflow.org","productivity",,"https://www.aitoolcrux.com/tools/langflow"
"openhands","OpenHands","https://openhands.dev","agent-runtime",,"https://www.aitoolcrux.com/tools/openhands"
"mineru","MinerU","https://opendatalab.github.io/MinerU/","productivity",,"https://www.aitoolcrux.com/tools/mineru"
"langchain","langchain","https://docs.langchain.com/langchain/","agent-framework",,"https://www.aitoolcrux.com/tools/langchain"
"docling","docling","https://docling-project.github.io/docling","productivity",,"https://www.aitoolcrux.com/tools/docling"
"llama-index","llama_index","https://developers.llamaindex.ai","rag",,"https://www.aitoolcrux.com/tools/llama-index"
"worldmonitor","worldmonitor","https://worldmonitor.app","agent",,"https://www.aitoolcrux.com/tools/worldmonitor"
"crewai","crewAI","https://crewai.com","agent-framework",,"https://www.aitoolcrux.com/tools/crewai"
"milvus","milvus","https://milvus.io","database",,"https://www.aitoolcrux.com/tools/milvus"
"ragflow","ragflow","https://ragflow.io","rag",,"https://www.aitoolcrux.com/tools/ragflow"
"cherry-studio","cherry-studio","https://cherry-ai.com","agent-framework",,"https://www.aitoolcrux.com/tools/cherry-studio"
"ray","ray","https://ray.io","agent-runtime",,"https://www.aitoolcrux.com/tools/ray"
"jan","jan","https://jan.ai/","agent",,"https://www.aitoolcrux.com/tools/jan"
"litellm","litellm","https://docs.litellm.ai/docs/","audio",,"https://www.aitoolcrux.com/tools/litellm"
"unsloth","unsloth","https://unsloth.ai/docs","audio",,"https://www.aitoolcrux.com/tools/unsloth"
"text-generation-webui","text-generation-webui","https://oobabooga.gumroad.com/l/deep_reason","dev-tools",,"https://www.aitoolcrux.com/tools/text-generation-webui"
"firecrawl","firecrawl","https://firecrawl.dev","productivity",,"https://www.aitoolcrux.com/tools/firecrawl"
"fabric","Fabric","https://danielmiessler.com/p/fabric-origin-story","agent-framework",,"https://www.aitoolcrux.com/tools/fabric"
"phidata","agno","https://docs.agno.com","agent-framework",,"https://www.aitoolcrux.com/tools/phidata"
"goose","goose","https://block.github.io/goose/","agent-runtime",,"https://www.aitoolcrux.com/tools/goose"
"mem0","mem0","https://mem0.ai","memory",,"https://www.aitoolcrux.com/tools/mem0"
"librechat","LibreChat","https://librechat.ai/","chat",,"https://www.aitoolcrux.com/tools/librechat"
"anything-llm","anything-llm","https://anythingllm.com","productivity",,"https://www.aitoolcrux.com/tools/anything-llm"
"continue","continue","https://docs.continue.dev","code",,"https://www.aitoolcrux.com/tools/continue"
"copilotkit","CopilotKit","https://docs.copilotkit.ai","dev-tools",,"https://www.aitoolcrux.com/tools/copilotkit"
"flowise","Flowise","https://flowiseai.com","productivity",,"https://www.aitoolcrux.com/tools/flowise"
"crawl4ai","crawl4ai","https://crawl4ai.com","agent",,"https://www.aitoolcrux.com/tools/crawl4ai"
"composio","composio","https://docs.composio.dev","audio",,"https://www.aitoolcrux.com/tools/composio"
"pydantic","pydantic","https://docs.pydantic.dev","dev-tools",,"https://www.aitoolcrux.com/tools/pydantic"
"semantic-kernel","semantic-kernel","https://aka.ms/semantic-kernel","agent-framework",,"https://www.aitoolcrux.com/tools/semantic-kernel"
"llama-factory","LlamaFactory","https://llamafactory.readthedocs.io","agent",,"https://www.aitoolcrux.com/tools/llama-factory"
"chroma","chroma","https://www.trychroma.com/","database",,"https://www.aitoolcrux.com/tools/chroma"
"langgraph","langgraph","https://docs.langchain.com/oss/python/langgraph/","agent-framework",,"https://www.aitoolcrux.com/tools/langgraph"
"openai-translator","nextai-translator","https://github.com/nextai-translator/nextai-translator","agent-runtime",,"https://www.aitoolcrux.com/tools/openai-translator"
"haystack","haystack","https://haystack.deepset.ai","agent-framework",,"https://www.aitoolcrux.com/tools/haystack"
"langfuse","langfuse","https://langfuse.com/docs","observability",,"https://www.aitoolcrux.com/tools/langfuse"
"ai","ai","https://ai-sdk.dev","dev-tools",,"https://www.aitoolcrux.com/tools/ai"
"repomix","repomix","https://repomix.com","agent",,"https://www.aitoolcrux.com/tools/repomix"
"mastra","mastra","https://mastra.ai","agent-framework",,"https://www.aitoolcrux.com/tools/mastra"
"faiss","faiss","https://faiss.ai","database",,"https://www.aitoolcrux.com/tools/faiss"
"python-sdk","python-sdk","https://modelcontextprotocol.github.io/python-sdk/","dev-tools",,"https://www.aitoolcrux.com/tools/python-sdk"
"dspy","dspy","https://dspy.ai","agent-framework",,"https://www.aitoolcrux.com/tools/dspy"
"servers","servers","https://modelcontextprotocol.io","dev-tools",,"https://www.aitoolcrux.com/tools/servers"
"prefect","prefect","https://prefect.io","agent-framework",,"https://www.aitoolcrux.com/tools/prefect"
"scrapegraph-ai","Scrapegraph-ai","https://scrapegraphai.com","productivity",,"https://www.aitoolcrux.com/tools/scrapegraph-ai"
"agentscope","agentscope","https://doc.agentscope.io/","agent",,"https://www.aitoolcrux.com/tools/agentscope"
"chatbox","chatbox","https://chatboxai.app?utm_medium=github","chat",,"https://www.aitoolcrux.com/tools/chatbox"
"skyvern","skyvern","https://www.skyvern.com","agent",,"https://www.aitoolcrux.com/tools/skyvern"
"qdrant","qdrant","https://qdrant.tech","database",,"https://www.aitoolcrux.com/tools/qdrant"
"tradingagents","TradingAgents","https://arxiv.org/pdf/2412.20138","agent-framework",,"https://www.aitoolcrux.com/tools/tradingagents"
"temporal","temporal","https://docs.temporal.io","agent-framework",,"https://www.aitoolcrux.com/tools/temporal"
"promptfoo","promptfoo","https://promptfoo.dev","rag",,"https://www.aitoolcrux.com/tools/promptfoo"
"whisperx","whisperX","https://github.com/m-bain/whisperX","audio",,"https://www.aitoolcrux.com/tools/whisperx"
"opik","opik","https://www.comet.com/docs/opik/","agent-framework",,"https://www.aitoolcrux.com/tools/opik"
"roo-code","Roo-Code","https://roocode.com","code",,"https://www.aitoolcrux.com/tools/roo-code"
"langchainjs","langchainjs","https://docs.langchain.com/oss/javascript/langchain/","agent-framework",,"https://www.aitoolcrux.com/tools/langchainjs"
"windmill","windmill","https://windmill.dev","productivity",,"https://www.aitoolcrux.com/tools/windmill"
"weaviate","weaviate","https://weaviate.io/developers/weaviate/","database",,"https://www.aitoolcrux.com/tools/weaviate"
"camel","camel","https://docs.camel-ai.org/","agent-framework",,"https://www.aitoolcrux.com/tools/camel"
"pydantic-ai","pydantic-ai","https://ai.pydantic.dev","agent-framework",,"https://www.aitoolcrux.com/tools/pydantic-ai"
"olmocr","olmocr","https://github.com/allenai/olmocr","dev-tools",,"https://www.aitoolcrux.com/tools/olmocr"
"chatdev","ChatDev","https://arxiv.org/abs/2307.07924","agent-framework",,"https://www.aitoolcrux.com/tools/chatdev"
"unstructured","unstructured","https://www.unstructured.io/","productivity",,"https://www.aitoolcrux.com/tools/unstructured"
"letta","letta","https://docs.letta.com/","memory",,"https://www.aitoolcrux.com/tools/letta"
"typescript-sdk","typescript-sdk","https://modelcontextprotocol.io","dev-tools",,"https://www.aitoolcrux.com/tools/typescript-sdk"
"a2a","A2A","https://a2a-protocol.org/","agent-framework",,"https://www.aitoolcrux.com/tools/a2a"
"chainlit","chainlit","https://docs.chainlit.io","agent",,"https://www.aitoolcrux.com/tools/chainlit"
"buzz","buzz","https://chidiwilliams.github.io/buzz","audio",,"https://www.aitoolcrux.com/tools/buzz"
"open-notebook","open-notebook","https://www.open-notebook.ai","agent",,"https://www.aitoolcrux.com/tools/open-notebook"
"e2b","E2B","https://e2b.dev/docs","agent",,"https://www.aitoolcrux.com/tools/e2b"
"gpt-researcher","gpt-researcher","https://gptr.dev","agent-framework",,"https://www.aitoolcrux.com/tools/gpt-researcher"
"tensorzero","tensorzero","https://tensorzero.com","agent-runtime",,"https://www.aitoolcrux.com/tools/tensorzero"
"peft","peft","https://huggingface.co/docs/peft","agent",,"https://www.aitoolcrux.com/tools/peft"
"pipecat","pipecat","https://pipecat.ai","audio",,"https://www.aitoolcrux.com/tools/pipecat"
"agency-agents","agency-agents","https://github.com/msitarzewski/agency-agents","agent",,"https://www.aitoolcrux.com/tools/agency-agents"
"db-gpt","DB-GPT","http://docs.dbgpt.cn","agent-framework",,"https://www.aitoolcrux.com/tools/db-gpt"
"eino","eino","https://www.cloudwego.io/docs/eino/","agent-framework",,"https://www.aitoolcrux.com/tools/eino"
"autoresearch","autoresearch","https://github.com/karpathy/autoresearch","audio",,"https://www.aitoolcrux.com/tools/autoresearch"
"gstack","gstack","https://github.com/garrytan/gstack","agent",,"https://www.aitoolcrux.com/tools/gstack"
